# Gene Family	A19_Abundance-RPKs
UniRef90_A0A0R2I8E1	941.9088454820
UniRef90_A0A0R2I8E1|g__Carnobacterium.s__Carnobacterium_divergens	941.9088454820
UniRef90_A0A0R2KDV0	940.4761904762
UniRef90_A0A0R2KDV0|g__Carnobacterium.s__Carnobacterium_maltaromaticum	940.4761904762
UniRef90_A0A0R2HPP8	927.7949563664
UniRef90_A0A0R2HPP8|g__Carnobacterium.s__Carnobacterium_divergens	927.7949563664
UniRef90_A0A0R2HXP5	926.4502974945
UniRef90_A0A0R2HXP5|g__Carnobacterium.s__Carnobacterium_divergens	926.4502974945
UniRef90_D5T403	902.2222222222
UniRef90_D5T403|g__Leuconostoc.s__Leuconostoc_gelidum	902.2222222222
UniRef90_A0A0R2JH50	898.0676575814
UniRef90_A0A0R2JH50|g__Carnobacterium.s__Carnobacterium_divergens	835.6934121085
UniRef90_A0A0R2JH50|g__Carnobacterium.s__Carnobacterium_maltaromaticum	62.3742454728
UniRef90_Q2NQU2	895.1384096312
UniRef90_Q2NQU2|g__Vagococcus.s__Vagococcus_proximus	895.1384096312
UniRef90_Q03ZN9	894.4779827549
UniRef90_Q03ZN9|g__Leuconostoc.s__Leuconostoc_gelidum	894.4779827549
UniRef90_P0ADY3	892.2900172900
UniRef90_P0ADY3|g__Vagococcus.s__Vagococcus_proximus	892.2900172900
UniRef90_J9YK89	888.8888888889
UniRef90_J9YK89|g__Leuconostoc.s__Leuconostoc_gelidum	888.8888888889
UniRef90_A0A0R2HNC8	882.7927306188
UniRef90_A0A0R2HNC8|g__Carnobacterium.s__Carnobacterium_divergens	765.5087800015
UniRef90_A0A0R2HNC8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	117.2839506173
UniRef90_Q03ZN8	882.0234062481
UniRef90_Q03ZN8|g__Leuconostoc.s__Leuconostoc_gelidum	882.0234062481
UniRef90_A8AQM1	877.6371308017
